longest, prouder: 2.33202683572
poorer, pretty: 0.795908451561
dense, dense: 7.75453364111
fast, nicer: 0.616879496598
healthy, luckier: 0.916030104478
high, prouder: -0.150899772958
honest, lovely: 1.74642242707
greatest, simple: 0.517429793928
dead, heavy: 0.453079447926
grimmer, strict: 0.610279029539
green, simplest: 1.14956029018
new, strong: 0.73201368408
hard, thin: 1.43800988986
lowest, safest: 4.47388023639
poorest, warmest: 3.94504040333
lovely, purer: 1.19249137636
bright, harder: 0.171276333592
another, faster: 0.144211513535
simplest, weak: 0.247398390727
clearer, true: 1.46352179456
some, wise: 0.853868887671
cooler, grim: 1.02285516162
cool, fastest: 1.60981945385
deader, younger: 1.70318534447
rarer, warm: 0.291393118183
deader, subtle: 1.37295880792
biggest, well: 0.375333918025
easy, simpler: 3.37228962903
purer, wide: -0.090053663071
latter, truer: 0.938576400985
richer, thinner: 3.61529511382
much, pure: 1.21721531911
big, biggest: 4.00318118047
quickest, simple: 1.45332888151
lighter, many: 0.489866605682
firmer, weirder: 2.14253653368
fatter, many: 1.13785776493
largest, warm: 0.039843856707
easy, prouder: 1.13046353275
bright, new: 0.924833120754
latest, many: 0.308965099231
cold, pretty: 1.23741834292
happiest, lovelier: 4.00590906264
another, lesser: 0.773187938505
fewer, weird: 0.435605190905
richer, stupid: 0.942628963159
freest, pretty: 1.78329092112
grave, latest: 0.700525416827
earlier, fast: 0.076355850361
green, grimmer: 1.00571485663
ever, weirder: 2.38547062507
pure, youngest: 0.155889886993
fair, wiser: 0.647549013581
warmer, widest: 0.994838777351
heavy, quicker: 0.677809692516
ever, old: -0.039297770624
rarest, younger: 0.482823690236
slow, warm: 1.89100440101
longer, pure: 0.866893361168
subtle, subtler: 6.46242877157
firm, warmer: 0.00590967843
safe, slow: 0.89767793547
green, lowest: 0.949659062778
firm, strict: 0.789513205328
deepest, most: 2.13850187068
gravest, short: 0.423165320454
luckier, wide: 0.1817721331
heavier, safer: 3.10962249971
fat, wise: 1.04318952712
rare, wide: 1.02894334256
clearer, lowest: 1.53953018562
fewer, youngest: 1.18351136965
deepest, dry: 0.742370156951
clearer, fewer: 2.64537794561
deepest, noble: 1.10095530711
fair, farther: -0.027137448448
dark, little: 1.19264609324
busier, weirder: 4.93168208862
new, poor: 0.095860007781
healthy, modest: 1.95530279174
darkest, safest: 4.43978845443
grimmer, weakest: 3.04463444097
loud, warmest: 1.40843819026
dark, poorer: 0.962839677503
better, late: 0.309608031993
better, worse: 4.14189541636
poor, stricter: 1.11998314354
freer, rich: 1.62931123046
stronger, tall: 1.2209771709
clear, weak: 1.40039725671
more, some: 1.24663000124
deep, fewer: 0.785920102463
darker, low: 0.12178895331
sound, taller: 1.0382728092
quickest, younger: 0.597479181477
deepest, subtler: 2.0298713352
quieter, wider: 2.58262853357
few, youngest: 0.493731165006
nobler, smallest: 0.833936707015
cheap, earlier: -0.250002091078
heavier, smallest: 1.69351335112
faster, subtle: 1.07177155035
narrow, strict: 1.44384099659
dense, finest: 0.529488196024
another, nicer: 0.733594760927
fastest, older: 1.31044185683
honest, largest: -0.005527059722
dead, much: 0.271660579978
dry, free: 0.74527696262
more, shorter: 2.13506012006
richest, strongest: 3.59489224423
green, widest: 0.71329383865
widest, wise: 0.966037804386
easy, quiet: 1.70761240053
longest, rich: 0.942238514068
low, upper: 1.9905230183
ever, interest: 0.718609554831
late, weird: 0.400256217658
smarter, tough: 2.78098814462
heavy, strictest: 1.77747851788
firmer, louder: 2.19154769919
pretty, warmest: 1.18234352073
happiest, healthier: 3.04102792824
fair, simple: 0.935276434886
bright, deader: 1.54537513041
easier, purer: 2.65841538849
closest, younger: 1.18966385636
early, thin: 0.928806597648
fatter, nice: 1.74110540986
