brighter, smarter: 3.63556567694
earlier, smarter: 0.132349564434
cool, greener: 1.28852969062
clear, grimmer: 1.56342832397
good, smart: 2.51270778792
deeper, stricter: 2.2189870522
least, short: 0.740606731106
cheaper, weird: 0.97661039986
nobler, strange: 1.8993037693
thinner, well: 0.653258697484
few, narrower: 0.85663908155
easy, young: 0.800287765939
easiest, gravest: 1.94243240073
newer, surer: 1.36236539978
freer, weakest: 2.02511817045
cheaper, strictest: 0.69384445492
healthier, rarer: 1.75793675036
later, strongest: 0.458817182029
faster, newest: 0.574463628028
strong, wide: 1.31728117586
darker, smarter: 3.03452187495
deep, much: 1.15518566232
easy, nicer: 2.2660620748
hotter, quieter: 4.9499060052
cheap, honest: 1.1442741864
clearer, firmer: 3.74309803979
many, newest: 0.291060153169
faster, modest: 1.24115647245
fairest, sounder: 2.5754289051
lighter, louder: 3.25771850237
large, thin: 1.96451818453
lucky, rich: 1.08198852475
deeper, weakest: 2.1066380322
great, poorest: 1.00714901475
big, shortest: 1.21821674524
biggest, taller: 0.602114023017
darkest, fairest: 2.4664419
freer, good: 1.5755526543
happiest, rarer: 2.05929563013
fair, purer: 0.86274516222
busy, quieter: 2.42080172936
brighter, pure: 0.15928239636
busy, closest: 1.05403077387
most, richest: 2.30431368006
longer, loud: 0.254310555081
cooler, small: 0.336291085149
dark, freer: 1.01263680614
deep, nobler: 0.163487879939
higher, most: 0.681954085891
strong, youngest: 0.552955847358
cute, much: 0.944451487593
close, fairer: 0.091394340406
broadest, broadest: 13.988492418
larger, simple: 0.802437838795
fewer, rare: 0.975210562162
short, smart: 1.04684798576
greatest, smaller: 1.21257357565
louder, slow: 1.56952547024
greater, narrow: 1.02685473437
safest, stricter: 2.4263769495
fat, youngest: 0.499106821134
older, small: 0.562880808254
deep, strong: 2.11307149779
broad, smart: 1.56796929439
free, rare: 1.06199165589
little, wise: 1.62808622527
cheap, sure: 1.02756345041
lovelier, youngest: 0.995717436807
strongest, weirder: 1.34353950142
clearest, cuter: 0.603053739493
later, weirder: 1.22947180288
drier, lovely: 1.75393155349
smarter, stricter: 2.87509203092
deepest, happiest: 3.67578341355
grave, interest: 0.88544913962
busy, small: 0.959540090357
firmer, greatest: 0.049722481651
cheaper, great: 0.690437321284
heavy, strange: 0.920593478994
cruellest, deepest: 3.44893885832
quiet, slow: 2.38125205099
cool, prouder: 0.943452644024
latter, small: 0.363390547006
simple, slower: 0.632685011016
fewer, healthier: 3.32826240944
lighter, quieter: 5.16761253998
clearest, taller: 0.146626253756
poorest, thin: 0.530161634891
cold, high: 1.04647251092
faster, largest: 0.507442803825
dry, purer: 1.32012779308
deader, widest: 0.477048882073
broad, broader: 5.06356154954
broader, sound: 0.109632585606
old, safer: 0.18785512795
far, stupid: 0.779435497899
dead, weird: 1.3428558863
low, safe: 1.27305027139
hotter, lowest: 1.86835567487
deader, rarest: 2.11272662739
faster, stranger: 0.318084050814
fewer, prouder: 1.66436372553
heavier, high: 1.41139044375
easiest, hotter: 1.82702696051
firmer, most: -0.145956435476
easier, stricter: 2.94395641482
safer, surer: 3.78198585848
great, new: 0.910251958293
more, weaker: 1.61087241371
deep, great: 1.43778364456
slower, tougher: 3.7694862971
earlier, rarest: 0.417063169125
cool, simple: 1.62856557009
kosher, smaller: 0.478596069887
healthy, many: 0.606874248557
fairest, proper: 1.24648426274
least, quicker: 0.578428117224
healthy, high: 1.43553960018
bigger, quick: 1.11315503404
closer, firm: 0.343575358845
heavy, new: 0.712740758097
grimmer, interest: -0.157935052773
early, sound: 0.093700243074
earliest, least: 1.88608236809
fat, older: 1.59390170258
grimmer, lower: 2.03477350575
heavy, larger: 1.39498817588
later, strict: -0.18320813595
broadest, taller: 0.361945981226
lucky, rarer: 1.77857839657
heavier, poorer: 3.1282824576
pretty, warm: 1.16603684578
warm, weaker: 1.3444309161
fair, newer: 0.058741581027
dark, quick: 0.16608993392
fairer, richest: 2.98732322159
latest, sounder: -0.278986669968
ever, well: 0.562885410012
closer, lighter: 2.28502550888
hard, poorest: 1.3349392069
firm, poorer: -0.091099740563
brighter, larger: 2.46301215219
good, simple: 1.76807986029
latter, quiet: 0.257183327728
fairer, narrow: 1.34328143889
heavier, stupider: 3.01725869867
busier, weakest: 2.51148994203
lovely, weak: 0.872542120587
clearest, longest: 2.93374459499
hardest, tougher: 3.71205982645
interest, tougher: 0.109158122189
brighter, new: 1.32054227398
clearer, simple: 1.77860749845
honest, stricter: 0.915104349346
stronger, upper: 1.36313512384
fewer, newest: 0.071310483417
easier, gravest: -0.464165528905
closer, some: 0.763179245961
brighter, interest: 0.319381394948
grimmer, hardest: 2.24814784669
better, most: 0.823914044475
luckier, richer: 3.89873962316
modest, newer: 1.10455966594
safest, weak: 0.359477342994
lovely, youngest: 0.475379439726
strange, younger: 0.336783802993
denser, low: 1.11500587945
narrow, strictest: -0.183080502229
heavier, more: 2.26398496787
another, earlier: 1.01390210812
quieter, strong: 1.02397622282
clear, wise: 0.927096336255
cruel, taller: 0.069190311135
another, weak: 0.79193187869
closest, cute: 0.896410263953
few, small: 1.36003853548
fairer, little: 1.24369458724
another, warmest: 0.141801555791
honest, pretty: 2.42553004287
lesser, poorer: 2.33581446648
busier, modest: 1.25170988042
few, wise: 0.983453254323
high, some: 0.668626927022
easy, quicker: 2.54676711655
closest, poorest: 1.66774194015
happier, well: 0.706446080837
clear, easy: 1.84351075164
finest, highest: 3.59806233123
stronger, stupider: 3.19712897988
clearer, taller: 2.24152028297
nicer, purer: 3.81485031954
many, rarer: 1.49843609454
another, deeper: 0.748757218193
closest, heavier: 0.780701720871
heavier, interest: 0.017535114188
far, new: 0.170884174354
fairest, luckier: 2.73646289845
weak, well: 1.23307913089
lower, sounder: 1.89222854463
modest, much: 1.47131917699
cute, cute: 8.79984933706
broad, purer: 0.791845065172
hard, higher: 0.798620472038
few, truer: 0.746223969767
deep, poor: 1.3781810108
grimmer, poorer: 3.18184100836
thin, tougher: 0.605501167979
grim, richest: 1.14797667164
greater, slower: 2.51514040874
stupid, young: 1.50664912894
poor, proud: 0.805064812827
lesser, prouder: 0.77207063897
cool, widest: 0.324792708694
rich, some: 0.672257383041
louder, smallest: 1.70400713858
easiest, stupider: 1.99596182524
strong, stupid: 0.644102053495
fewer, lowest: 3.02684763337
hard, more: 0.715421943785
highest, many: 0.282494810166
easiest, safer: 2.27606251143
prettier, quickest: 1.53445606783
dead, louder: 1.16853951002
latest, worse: 0.766480529145
fair, nice: 2.15141538119
clear, purer: 1.42084646386
cuter, pretty: 2.26789748374
far, lovely: 0.750519704717
fat, grim: 0.68069409347
fair, fat: 0.487244788577
latter, safest: 0.209088784116
denser, richest: 0.496994226189
dense, far: 1.10763144674
busy, greener: 1.04344765606
fat, upper: 1.52004581172
prouder, taller: 5.23470600709
faster, nice: 1.06357211858
bigger, sure: 1.22820077135
hot, wise: 0.736381786178
bigger, fairer: 2.92225163152
biggest, quicker: 1.13346850607
dense, harder: 1.27691084845
deeper, dry: 0.873268955577
cruel, thin: 0.929411144501
big, long: 1.24665687028
newer, strict: 1.12174194241
healthier, lovely: 1.29218519699
harder, much: 1.88494913756
cold, dense: 1.6135966301
busy, less: -0.089977813139
nicer, quickest: 2.08976680756
poor, warmer: 1.17993230799
good, purer: 1.65356890375
better, broader: 1.87501342062
brighter, green: 2.41995938687
latter, weird: 0.407379027816
dense, lower: 0.946364277612
easiest, old: 0.486212435077
cuter, fastest: 2.10150028565
nicer, older: 2.72050137371
sure, weakest: 0.268878479599
weaker, worst: 2.51575838033
free, upper: 0.427748794378
prettier, well: 0.50776839282
more, warmest: 0.719829829463
low, stupid: 0.798622267205
later, smarter: 0.567377752745
dead, heavier: 0.111368679726
poorer, sounder: 2.8296285571
far, strictest: 0.854351219291
heavy, smarter: 0.13605972616
bigger, honest: 1.15063402949
higher, weaker: 4.27935311464
hardest, simpler: 1.6625236481
earlier, hardest: 0.589822808447
clearer, heavier: 2.89948445378
safe, shorter: 0.779692165072
fewer, true: 0.598709101763
far, proper: 0.352114162704
cheap, fast: 2.05648299297
rare, worse: 0.623696507702
denser, pure: 1.63067084813
rare, strictest: 1.1151651226
closest, drier: 0.838774313318
few, greatest: 0.697515816616
prettier, slower: 2.84397920307
bad, darker: 2.16680940573
easiest, happier: 1.61004553792
lovely, some: 0.64387520541
greener, worst: 0.786612106611
lesser, long: 0.410347594217
free, smarter: 0.662354884494
freer, prettier: 3.79989446727
loud, quieter: 2.89405667153
quieter, surer: 2.90740742737
cruellest, shorter: 0.68522766079
freer, richest: 2.34516753144
large, sure: 0.445722866697
happier, long: 0.525047259891
modest, most: 0.439502565984
darkest, grim: 3.78353658539
close, darkest: 1.1218600662
richer, weakest: 1.36137138466
deeper, richest: 1.63266656025
cuter, thinner: 5.37642249338
light, shortest: 0.758333237341
busier, smallest: 1.18266355875
freest, poor: 1.77680989011
quicker, warmer: 3.32160449434
light, sounder: 0.744599966829
broader, noble: 1.03312538173
biggest, colder: 0.834971155432
dark, latter: 0.303354174059
larger, simpler: 2.72404384309
latter, some: 0.656944207322
dark, pretty: 1.00523442633
good, hardest: 2.11824791646
healthier, quiet: 0.80369283476
deep, wise: 0.793278614668
pretty, weaker: 1.22463306755
small, warm: 0.730698170971
great, healthier: 1.46262993216
far, simplest: 1.12735141155
happier, rarer: 2.34563044444
darkest, hotter: 2.32226944435
firm, simplest: 0.259690539165
hotter, true: 1.39170308392
upper, well: 0.30215903
firmer, weaker: 6.72371088998
faster, newer: 2.63133778228
happier, pure: 0.279228489554
fairer, poorest: 3.59451624372
cheap, lighter: 1.00832791109
cheap, poorer: 2.12289357267
stranger, true: 1.08667330849
lowest, safe: 0.910957541773
highest, strictest: 3.85914073908
highest, quieter: 0.633671980871
cute, nice: 3.78799371765
bright, proper: 0.380388834596
better, biggest: 1.15581776464
early, stranger: 0.022060288822
green, smaller: 0.868887457419
biggest, most: 2.42755152968
late, pure: 0.060548417076
stronger, wise: 1.36306162
few, well: 0.915084407373
modest, warmer: 1.4822757858
hotter, tougher: 4.73927477484
healthier, smarter: 5.13810347007
broad, taller: 0.089593628768
happiest, heavy: 0.294927084777
great, longest: 1.17500064177
green, least: 0.351362713336
lesser, slower: 1.73993678532
safe, younger: 0.770551009589
deepest, fair: 0.292591869596
cold, free: 0.594000859962
nice, rare: 2.02392062414
cuter, dead: 1.51668578872
lesser, warmer: 1.41919520159
hotter, nice: 1.81853772332
dry, weird: 1.04285573132
simple, some: 0.496839277095
latter, louder: 0.554756561865
bright, dense: 1.61920364167
interest, slower: 0.447711855529
cheap, true: 1.35275746154
busier, kosher: 1.44686566113
hot, wiser: -0.225664657732
big, younger: 1.06695393348
bad, free: 1.0540583592
cooler, deepest: 0.868112487416
deepest, fairer: 0.967591141837
firmer, freer: 4.13415259312
narrow, truer: 0.620702398512
richest, upper: 1.61327715591
